state_id,init_x,init_y,init_z,init_vx,init_vy,init_vz,pred_x,pred_y,error
61,-0.289229,0.778735,0.46734,1.36537,-5.28949,-0.35468,0.0874191,-0.680417,6.15979e-08
62,0.481932,1.7404,0.352387,0.120085,-6.78148,1.03534,0.528855,-0.909471,1.50855e-08
63,0.539517,1.4071,0.421563,-1.05982,-5.48013,1.53306,0.0221407,-1.26816,0.0271347
64,-0.289283,1.34735,0.39792,0.310243,-5.37307,1.26958,-0.153177,-1.00985,1.61752e-10
65,-0.06,1.68,0.51,0.73,-5.61,1.52,0.311189,-1.17256,6.59166e-08
66,-0.791677,1.22599,0.453088,3.46123,-8.22048,-0.17659,0.19927,-1.12753,4.5286e-08
67,-0.649287,1.2681,0.218721,0.460879,-3.30536,2.37112,-0.391958,-0.577432,1.38141e-08
68,0.8,1.34,0.26,-1.93,-4.39,2.38,-0.29977,-1.16155,1.37883e-08
69,0.56,1.27,0.4,-1.64,-4.89,2.21,-0.392711,-1.57071,4.30639e-09
70,-0.306407,1.12055,0.375401,0.277222,-6.50095,1.38452,-0.182387,-1.78777,1.95586e-08
71,-0.53,1.54,0.49,0.13,-5.08,1.18,-0.470647,-0.779322,6.39267e-08
72,-0.143661,0.884842,0.509131,-0.925146,-3.80345,1.265,-0.581649,-0.915807,8.44534e-09
73,0.57,0.86,0.41,-0.98,-2.59,2.07,0.0113935,-0.616317,0.0135935
74,-0.787203,1.71268,0.455408,1.63183,-4.8818,2.1133,0.1608,-1.12338,1.28595e-08
75,0.06,1.06,0.39,-1.14,-5.13,0.88,-0.37782,-0.910189,1.64067e-08
76,-0.748461,1.26464,0.334161,1.79997,-5.50884,1.14676,-0.0262104,-0.945822,3.59604e-08
77,0.19,1.23,0.42,-0.4,-4.85,1.45,0.00103574,-1.06119,2.39693e-08
78,-0.17964,1.78286,0.491674,-0.0365108,-5.44856,1.97184,-0.200409,-1.31658,2.91625e-08
79,-0.27,0.93,0.46,1.3,-4.69,1.22,0.318731,-1.19396,4.68399e-08
80,0.233765,0.850666,0.575261,-0.947895,-4.32678,1.69077,-0.288492,-1.53324,2.53143e-08
81,-0.261001,1.16934,0.707907,-0.108516,-3.73288,0.692769,-0.310472,-0.532429,4.60089e-08
82,0.555867,0.839058,0.301843,-1.46089,-4.39202,2.10834,-0.235795,-1.54099,0.0225409
83,-0.760067,1.28408,0.471397,1.95118,-3.64256,2.27281,0.433586,-0.944293,1.03796e-08
84,-0.378268,1.12017,0.446172,1.12636,-4.57128,1.53812,0.178222,-1.13832,6.05957e-08
85,-0.113136,-1.37673,0.444817,0.342299,5.39029,1.40858,0.0490391,1.17709,3.85258e-08
86,0.41,1.54,0.39,-1.77,-5.16,1.39,-0.394008,-0.803887,3.39343e-08
87,0.722623,0.857359,0.371783,-2.53356,-6.31283,0.732373,-0.183369,-1.40009,3.51117e-09
88,-0.154002,1.03489,0.567683,1.55688,-4.25461,2.18629,0.81548,-1.61449,6.02643e-08
89,0.319453,1.66465,0.408881,0.172446,-8.0346,1.35128,0.397341,-1.96428,1.8482e-08
90,0.630237,-1.50361,0.347963,-1.57927,6.29286,2.14946,-0.247326,1.99319,4.61446e-08
91,0.295109,1.54661,0.464568,-0.386885,-4.46476,2.09017,0.0699351,-1.05196,5.95497e-08
92,0.111199,0.860297,0.538469,-0.575815,-3.50371,1.0538,-0.15031,-0.730932,1.66312e-08
93,0.28532,-1.77868,0.362184,-0.331707,6.41101,2.98378,0.0545608,2.68127,5.10777e-08
94,-0.24,1.29,0.32,-0.48,-5.53,1.33,-0.444417,-1.06505,0.0270924
95,-0.41,1.02,0.43,2.64,-4.92,1.2,0.75283,-1.14709,5.0964e-08
